Gender,Senior Citizen,Partner,Dependents,Tenure Months,Tenure Groups,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Service Count,Contract,Paperless Billing,Payment Method,Monthly Charges,Charge Category,Total Charges,Churn Value,Churn Reason
Female,Yes,Yes,No,6,0-12,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,4,Month-to-month,Yes,Electronic check,84.35,Medium,474.9,1,Deceased
Female,No,No,No,8,0-12,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,4,Month-to-month,No,Electronic check,84.95,Medium,668.4,1,Moved
Male,No,No,No,11,0-12,Yes,No,Fiber optic,No,No,No,Yes,No,No,3,Month-to-month,Yes,Electronic check,73.85,Medium,926.25,1,Moved
Male,No,Yes,No,49,49-60,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,4,One year,Yes,Bank transfer (automatic),51.8,Medium,2541.25,1,Moved
Female,Yes,Yes,No,1,0-12,Yes,No,DSL,No,No,No,No,No,No,2,Month-to-month,No,Electronic check,46.0,Low,46.0,1,Competitor had better devices
Male,Yes,No,No,15,13-24,Yes,No,Fiber optic,No,No,No,No,No,Yes,3,Month-to-month,Yes,Electronic check,79.4,Medium,1156.1,1,Competitor offered higher download speeds
Male,Yes,Yes,No,16,13-24,Yes,No,Fiber optic,No,No,No,No,No,No,2,Month-to-month,Yes,Bank transfer (automatic),71.8,Medium,1167.8,1,Competitor offered more data
Male,Yes,Yes,No,44,37-48,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,5,One year,No,Mailed check,88.4,High,3912.9,1,Competitor made better offer
Female,No,No,Yes,5,0-12,Yes,No,DSL,No,No,No,No,No,No,2,Month-to-month,No,Mailed check,46.0,Low,221.7,1,Competitor had better devices
Male,No,No,No,4,0-12,Yes,Yes,DSL,No,No,No,No,No,No,3,Month-to-month,No,Credit card (automatic),51.75,Medium,201.1,1,Competitor had better devices
Male,No,Yes,No,30,25-36,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,6,Month-to-month,Yes,Electronic check,94.4,High,2838.7,1,Competitor offered higher download speeds
Female,No,No,No,1,0-12,Yes,No,Fiber optic,No,No,No,No,No,No,2,Month-to-month,Yes,Mailed check,70.15,Medium,70.15,1,Competitor offered higher download speeds
Male,No,No,No,9,0-12,No,No phone service,DSL,No,No,No,No,Yes,No,2,Month-to-month,Yes,Credit card (automatic),34.7,Low,296.1,1,Competitor offered higher download speeds
Female,No,No,No,1,0-12,Yes,No,Fiber optic,No,No,No,No,No,Yes,3,Month-to-month,Yes,Electronic check,81.1,Medium,81.1,1,Competitor offered more data
Female,No,Yes,Yes,1,0-12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,Month-to-month,No,Mailed check,20.55,Low,20.55,1,Competitor offered more data
Female,No,No,No,61,61-72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,7,Two year,Yes,Electronic check,106.6,High,6428.4,1,Competitor offered more data
Male,No,Yes,No,59,49-60,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,8,Month-to-month,Yes,Electronic check,106.75,High,6252.9,1,Competitor made better offer
Female,No,No,No,3,0-12,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,4,Month-to-month,Yes,Electronic check,89.45,High,240.45,1,Competitor made better offer
Female,No,No,No,3,0-12,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,6,Month-to-month,Yes,Electronic check,97.9,High,315.3,1,Price too high
Male,No,No,No,1,0-12,Yes,No,DSL,No,No,No,No,No,Yes,3,Month-to-month,Yes,Mailed check,55.7,Medium,55.7,1,Product dissatisfaction
Male,No,No,No,13,13-24,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,4,Month-to-month,Yes,Electronic check,79.8,Medium,973.45,1,Service dissatisfaction
Female,No,Yes,No,18,13-24,No,No phone service,DSL,No,No,Yes,No,Yes,No,3,Month-to-month,Yes,Electronic check,39.05,Low,669.85,1,Lack of self-service on Website
Female,Yes,Yes,No,3,0-12,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,4,Month-to-month,Yes,Mailed check,83.9,Medium,267.4,1,Network reliability
Female,Yes,No,No,1,0-12,Yes,No,Fiber optic,No,No,No,No,No,No,2,Month-to-month,Yes,Electronic check,69.85,Medium,69.85,1,Limited range of services
Female,No,No,No,1,0-12,Yes,No,DSL,No,No,No,No,Yes,No,3,Month-to-month,Yes,Mailed check,53.55,Medium,53.55,1,Lack of affordable download/upload speed
Female,No,Yes,No,70,61-72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,7,Two year,No,Bank transfer (automatic),93.9,High,6579.05,1,Long distance charges
Male,No,Yes,No,68,61-72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,9,Two year,Yes,Electronic check,113.15,High,7856.0,1,Extra data charges
Female,Yes,Yes,No,26,25-36,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,4,Month-to-month,No,Electronic check,84.95,Medium,2169.75,1,Price too high
Male,No,Yes,No,11,0-12,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,4,Month-to-month,Yes,Bank transfer (automatic),80.5,Medium,896.9,1,Product dissatisfaction
Male,No,No,No,1,0-12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,Month-to-month,Yes,Mailed check,19.3,Low,19.3,1,Service dissatisfaction
Male,No,No,No,1,0-12,Yes,No,DSL,No,No,Yes,No,No,No,3,Month-to-month,Yes,Mailed check,49.65,Low,49.65,1,Lack of self-service on Website
Female,No,No,No,46,37-48,Yes,No,DSL,No,No,Yes,Yes,No,No,4,Two year,No,Credit card (automatic),54.35,Medium,2460.15,1,Network reliability
Male,No,No,No,4,0-12,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,4,Month-to-month,Yes,Electronic check,88.45,High,370.65,1,Don't know
Male,Yes,No,No,22,13-24,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,5,Month-to-month,Yes,Bank transfer (automatic),90.5,High,1910.6,1,Don't know
Male,No,Yes,No,9,0-12,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,6,Month-to-month,Yes,Mailed check,94.85,High,890.6,1,Don't know
Male,No,Yes,No,7,0-12,Yes,No,Fiber optic,No,No,No,No,No,No,2,Month-to-month,Yes,Bank transfer (automatic),69.95,Medium,529.5,1,Poor expertise of online support
Female,No,No,No,1,0-12,Yes,No,DSL,Yes,No,No,No,No,No,3,Month-to-month,Yes,Credit card (automatic),48.6,Low,48.6,1,Poor expertise of phone support
Female,Yes,No,No,40,37-48,No,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,5,Month-to-month,Yes,Electronic check,55.8,Medium,2109.35,1,Attitude of support person
Male,No,Yes,No,29,25-36,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,4,Month-to-month,Yes,Bank transfer (automatic),80.15,Medium,2265.25,1,Attitude of support person
Female,No,No,No,3,0-12,Yes,Yes,Fiber optic,No,No,No,No,No,No,3,Month-to-month,Yes,Electronic check,75.5,Medium,220.6,1,Attitude of service provider
Male,No,No,No,1,0-12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,Month-to-month,Yes,Bank transfer (automatic),20.2,Low,20.2,1,Attitude of service provider
Female,No,Yes,No,3,0-12,Yes,Yes,Fiber optic,No,No,No,No,No,No,3,Month-to-month,Yes,Credit card (automatic),74.75,Medium,229.5,1,Attitude of service provider
Male,No,No,No,23,13-24,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,7,Month-to-month,Yes,Mailed check,104.05,High,2470.1,1,Attitude of support person
Female,No,No,No,13,13-24,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,6,Month-to-month,Yes,Electronic check,96.65,High,1244.5,1,Attitude of support person
Male,Yes,No,No,1,0-12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,Month-to-month,No,Mailed check,20.05,Low,20.05,1,Attitude of support person
Female,No,No,No,39,37-48,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,7,Month-to-month,Yes,Electronic check,103.45,High,3994.45,1,Attitude of service provider
Female,No,Yes,Yes,1,0-12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,Month-to-month,Yes,Electronic check,19.9,Low,19.9,1,Attitude of service provider
Male,No,Yes,No,14,13-24,No,No phone service,DSL,No,No,No,No,Yes,Yes,3,Month-to-month,No,Electronic check,46.35,Low,667.7,1,Attitude of service provider
Male,No,No,No,1,0-12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,Month-to-month,No,Electronic check,19.95,Low,19.95,1,Attitude of support person
Male,No,No,No,1,0-12,Yes,No,Fiber optic,No,No,No,No,No,Yes,3,Month-to-month,No,Electronic check,79.6,Medium,79.6,1,Attitude of support person
Male,No,No,No,1,0-12,Yes,No,Fiber optic,No,No,No,Yes,No,No,3,Month-to-month,Yes,Electronic check,75.9,Medium,75.9,1,Attitude of support person
Male,No,Yes,No,1,0-12,Yes,No,Fiber optic,No,No,Yes,No,No,No,3,Month-to-month,No,Electronic check,76.2,Medium,76.2,1,Don't know
Male,No,No,Yes,1,0-12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,Month-to-month,No,Mailed check,19.25,Low,19.25,1,Attitude of service provider
Female,No,Yes,No,42,37-48,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,5,Month-to-month,Yes,Electronic check,84.3,Medium,3588.4,1,Attitude of service provider
Female,No,No,No,7,0-12,Yes,No,Fiber optic,No,No,No,No,Yes,No,3,Month-to-month,Yes,Electronic check,79.0,Medium,522.95,1,Attitude of support person
Female,No,No,No,1,0-12,Yes,No,Fiber optic,No,No,No,No,No,No,2,Month-to-month,Yes,Electronic check,70.25,Medium,70.25,1,Attitude of support person
Female,Yes,No,No,10,0-12,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,4,Month-to-month,Yes,Credit card (automatic),84.6,Medium,865.55,1,Attitude of support person
Female,No,Yes,Yes,17,13-24,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2,Month-to-month,No,Mailed check,24.1,Low,409.9,1,Attitude of service provider
Female,No,No,Yes,1,0-12,Yes,No,DSL,Yes,Yes,No,Yes,No,No,5,Month-to-month,Yes,Electronic check,60.0,Medium,60.0,1,Attitude of service provider
Male,No,No,No,8,0-12,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,4,Month-to-month,Yes,Electronic check,86.55,High,649.65,1,Attitude of service provider
Female,Yes,Yes,No,1,0-12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,Month-to-month,Yes,Mailed check,20.85,Low,20.85,1,Attitude of support person
Female,No,No,No,39,37-48,No,No phone service,DSL,No,No,Yes,No,Yes,Yes,4,Month-to-month,Yes,Electronic check,50.75,Medium,2011.4,1,Attitude of support person
Female,Yes,Yes,No,58,49-60,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,7,One year,Yes,Credit card (automatic),105.5,High,6205.5,1,Attitude of support person
Male,Yes,No,No,6,0-12,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,4,Month-to-month,Yes,Bank transfer (automatic),85.15,High,503.6,1,Attitude of service provider
Male,No,Yes,No,22,13-24,Yes,No,DSL,Yes,No,No,Yes,No,No,4,Month-to-month,Yes,Electronic check,54.2,Medium,1152.7,1,Attitude of service provider
Female,No,Yes,No,70,61-72,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,8,One year,Yes,Electronic check,109.5,High,7674.55,1,Attitude of service provider
Male,No,Yes,No,21,13-24,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,7,Month-to-month,No,Electronic check,104.4,High,2157.95,1,Attitude of support person
Male,Yes,Yes,No,71,61-72,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,7,Month-to-month,Yes,Credit card (automatic),105.1,High,7548.1,1,Attitude of support person
Female,No,No,No,1,0-12,Yes,No,Fiber optic,No,Yes,No,No,No,No,3,Month-to-month,Yes,Electronic check,75.7,Medium,75.7,1,Attitude of support person
Female,Yes,Yes,No,20,13-24,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,5,Month-to-month,No,Electronic check,90.8,High,1951.0,1,Attitude of service provider
Female,No,Yes,No,4,0-12,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,6,Month-to-month,Yes,Electronic check,97.95,High,384.5,1,Attitude of service provider
Male,No,No,No,32,25-36,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,8,Month-to-month,Yes,Credit card (automatic),108.15,High,3432.9,1,Attitude of service provider
Male,No,No,No,6,0-12,Yes,No,Fiber optic,No,No,No,No,Yes,No,3,Month-to-month,Yes,Credit card (automatic),80.5,Medium,463.05,1,Attitude of support person
Female,Yes,Yes,No,27,25-36,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,7,Month-to-month,Yes,Bank transfer (automatic),104.3,High,2867.75,1,Attitude of support person
Male,No,No,No,1,0-12,Yes,No,Fiber optic,No,No,No,No,No,No,2,Month-to-month,Yes,Mailed check,71.35,Medium,71.35,1,Attitude of support person
Female,No,No,No,13,13-24,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,6,Month-to-month,No,Electronic check,89.4,High,1132.35,1,Attitude of service provider
Male,No,No,No,1,0-12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,Month-to-month,No,Mailed check,20.6,Low,20.6,1,Attitude of service provider
Male,No,No,No,19,13-24,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,6,Month-to-month,Yes,Electronic check,99.95,High,1931.75,1,Attitude of service provider
Female,No,No,No,10,0-12,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,4,Month-to-month,Yes,Credit card (automatic),81.0,Medium,818.05,1,Attitude of support person
Female,Yes,Yes,No,13,13-24,Yes,No,Fiber optic,No,No,No,No,No,No,2,Month-to-month,Yes,Electronic check,70.15,Medium,916.75,1,Don't know
Female,No,No,No,1,0-12,Yes,No,Fiber optic,No,No,No,No,No,No,2,Month-to-month,Yes,Mailed check,70.15,Medium,70.15,1,Attitude of support person
Female,Yes,Yes,No,68,61-72,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,6,One year,Yes,Credit card (automatic),96.55,High,6581.9,1,Attitude of service provider
Female,No,No,No,39,37-48,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,6,One year,Yes,Electronic check,95.55,High,3692.85,1,Attitude of service provider
Female,Yes,No,No,1,0-12,Yes,No,Fiber optic,No,No,No,No,No,No,2,Month-to-month,Yes,Electronic check,69.65,Medium,69.65,1,Attitude of service provider
Female,Yes,No,No,1,0-12,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,4,Month-to-month,Yes,Electronic check,89.3,High,89.3,1,Attitude of support person
Female,No,No,No,36,25-36,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,5,Month-to-month,Yes,Electronic check,87.55,High,3078.1,1,Attitude of support person
Female,Yes,No,No,15,13-24,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,6,Month-to-month,Yes,Mailed check,96.3,High,1426.75,1,Attitude of support person
Female,No,No,No,5,0-12,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,4,Month-to-month,Yes,Electronic check,85.2,High,474.8,1,Attitude of service provider
Female,No,No,No,13,13-24,No,No phone service,DSL,No,No,No,No,No,Yes,2,Month-to-month,Yes,Electronic check,35.1,Low,446.1,1,Attitude of service provider
Male,No,Yes,No,5,0-12,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,4,Month-to-month,Yes,Electronic check,81.3,Medium,416.3,1,Attitude of service provider
Female,No,No,Yes,2,0-12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,Month-to-month,Yes,Electronic check,19.6,Low,35.85,1,Attitude of support person
Female,No,Yes,No,17,13-24,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,4,Month-to-month,Yes,Electronic check,85.45,High,1451.6,1,Attitude of support person
Male,No,Yes,No,1,0-12,Yes,No,Fiber optic,No,No,No,No,No,No,2,Month-to-month,Yes,Electronic check,71.0,Medium,71.0,1,Attitude of support person
Male,Yes,No,No,9,0-12,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,4,Month-to-month,Yes,Electronic check,85.05,High,746.5,1,Attitude of service provider
Male,No,No,Yes,1,0-12,Yes,No,DSL,No,No,No,No,No,No,2,Month-to-month,Yes,Electronic check,44.4,Low,44.4,1,Attitude of service provider
Male,Yes,Yes,No,1,0-12,Yes,No,Fiber optic,No,No,No,No,No,No,2,Month-to-month,Yes,Electronic check,70.3,Medium,70.3,1,Attitude of service provider
Female,No,Yes,No,1,0-12,Yes,No,Fiber optic,No,No,No,No,Yes,No,3,Month-to-month,Yes,Bank transfer (automatic),79.35,Medium,79.35,1,Attitude of support person
Female,No,No,No,9,0-12,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,4,Month-to-month,Yes,Bank transfer (automatic),90.8,High,809.75,1,Attitude of support person
Male,No,Yes,No,20,13-24,Yes,No,Fiber optic,No,No,No,No,No,No,2,Month-to-month,Yes,Electronic check,70.45,Medium,1470.95,1,Attitude of support person
Male,Yes,No,No,70,61-72,No,No phone service,DSL,No,No,No,No,Yes,Yes,3,One year,Yes,Electronic check,45.25,Low,3264.45,1,Attitude of service provider
Female,No,No,No,3,0-12,Yes,Yes,Fiber optic,No,No,No,No,No,No,3,Month-to-month,Yes,Electronic check,75.8,Medium,246.3,1,Attitude of service provider
Male,Yes,No,No,20,13-24,Yes,No,Fiber optic,No,No,No,No,No,No,2,Month-to-month,No,Credit card (automatic),71.3,Medium,1389.2,1,Attitude of service provider
Male,Yes,Yes,No,21,13-24,Yes,No,Fiber optic,No,No,No,No,No,No,2,Month-to-month,Yes,Electronic check,69.1,Medium,1474.75,1,Attitude of support person
Female,No,Yes,No,17,13-24,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,5,Month-to-month,No,Electronic check,88.25,High,1460.65,1,Deceased
Female,No,No,No,2,0-12,Yes,No,Fiber optic,No,No,No,No,No,No,2,Month-to-month,No,Bank transfer (automatic),70.0,Medium,153.05,1,Moved
Female,No,No,No,21,13-24,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,5,Month-to-month,Yes,Electronic check,97.35,High,2119.5,1,Moved
Male,No,Yes,Yes,5,0-12,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2,Month-to-month,Yes,Bank transfer (automatic),25.9,Low,135.0,1,Moved
Male,No,No,No,24,13-24,Yes,Yes,DSL,Yes,No,No,No,No,No,4,Month-to-month,Yes,Bank transfer (automatic),55.65,Medium,1400.55,1,Competitor had better devices
Female,No,No,No,1,0-12,Yes,No,Fiber optic,No,No,No,No,No,No,2,Month-to-month,Yes,Electronic check,69.65,Medium,69.65,1,Competitor offered higher download speeds
Female,No,No,No,10,0-12,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,6,Month-to-month,Yes,Electronic check,100.6,High,1060.2,1,Competitor offered more data
Female,Yes,No,No,1,0-12,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,4,Month-to-month,Yes,Electronic check,86.0,High,86.0,1,Competitor made better offer
Female,No,No,No,53,49-60,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,7,One year,Yes,Credit card (automatic),106.95,High,5785.5,1,Competitor had better devices
Male,No,No,No,3,0-12,No,No phone service,DSL,No,Yes,No,No,No,No,2,Month-to-month,Yes,Electronic check,29.6,Low,79.45,1,Competitor had better devices
Male,Yes,Yes,No,46,37-48,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,6,One year,Yes,Bank transfer (automatic),59.9,Medium,2816.65,1,Competitor offered higher download speeds
Female,No,Yes,No,49,49-60,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,5,Month-to-month,Yes,Electronic check,95.6,High,4783.5,1,Competitor offered higher download speeds
Male,No,No,No,11,0-12,No,No phone service,DSL,No,No,Yes,No,Yes,No,3,One year,Yes,Electronic check,41.6,Low,470.6,1,Competitor offered higher download speeds
Male,No,No,No,45,37-48,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,6,Month-to-month,Yes,Credit card (automatic),100.85,High,4740.0,1,Competitor offered more data
Male,No,Yes,Yes,37,37-48,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,4,Month-to-month,No,Bank transfer (automatic),40.2,Low,1448.8,1,Competitor offered more data
Male,No,Yes,No,49,49-60,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,4,Month-to-month,No,Electronic check,84.5,Medium,4254.85,1,Competitor offered more data
Female,Yes,No,No,14,13-24,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,4,Month-to-month,Yes,Electronic check,78.95,Medium,1101.85,1,Competitor made better offer
Male,No,No,No,1,0-12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,Month-to-month,No,Mailed check,20.2,Low,20.2,1,Competitor made better offer
Female,Yes,No,No,47,37-48,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,5,Month-to-month,Yes,Bank transfer (automatic),85.2,High,3969.35,1,Price too high
Male,Yes,Yes,No,13,13-24,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,6,Month-to-month,Yes,Electronic check,98.0,High,1237.85,1,Product dissatisfaction
Male,No,Yes,No,5,0-12,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,5,Month-to-month,Yes,Electronic check,94.45,High,498.1,1,Service dissatisfaction
Male,Yes,No,No,3,0-12,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,7,Month-to-month,Yes,Electronic check,105.0,High,294.45,1,Lack of self-service on Website
Female,Yes,Yes,No,26,25-36,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,6,Month-to-month,Yes,Electronic check,93.85,High,2381.55,1,Network reliability
Female,Yes,Yes,No,8,0-12,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,4,Month-to-month,Yes,Electronic check,84.0,Medium,613.4,1,Limited range of services
Female,No,Yes,No,9,0-12,No,No phone service,DSL,No,No,Yes,No,Yes,Yes,4,Month-to-month,Yes,Electronic check,48.75,Low,442.2,1,Lack of affordable download/upload speed
Male,No,No,No,1,0-12,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,4,Month-to-month,Yes,Electronic check,84.85,Medium,84.85,1,Long distance charges
Male,No,No,No,12,0-12,Yes,No,DSL,Yes,No,No,Yes,No,No,4,Month-to-month,No,Mailed check,56.65,Medium,654.85,1,Extra data charges
Female,No,No,No,42,37-48,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,7,One year,No,Credit card (automatic),73.9,Medium,3160.55,1,Price too high
Female,No,Yes,No,33,25-36,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2,Two year,Yes,Mailed check,24.5,Low,740.3,1,Product dissatisfaction
Female,No,No,No,31,25-36,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,5,Month-to-month,Yes,Electronic check,89.9,High,2806.9,1,Service dissatisfaction
Male,Yes,Yes,No,18,13-24,Yes,No,Fiber optic,No,No,No,No,No,Yes,3,Month-to-month,No,Electronic check,78.55,Medium,1422.65,1,Lack of self-service on Website
Male,No,Yes,No,42,37-48,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,7,Month-to-month,Yes,Electronic check,99.45,High,4138.05,1,Network reliability
Male,Yes,No,No,4,0-12,No,No phone service,DSL,No,No,No,No,No,No,1,Month-to-month,Yes,Bank transfer (automatic),25.2,Low,102.5,1,Don't know
Female,No,No,No,12,0-12,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,6,One year,No,Mailed check,74.05,Medium,872.65,1,Don't know
Female,Yes,No,No,15,13-24,Yes,Yes,DSL,No,No,No,Yes,No,No,4,Month-to-month,No,Credit card (automatic),55.0,Medium,757.1,1,Don't know
Male,No,Yes,No,7,0-12,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,5,Month-to-month,Yes,Electronic check,89.75,High,608.8,1,Poor expertise of online support
Male,No,Yes,No,14,13-24,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,4,Month-to-month,Yes,Electronic check,85.15,High,1139.2,1,Poor expertise of phone support
Male,Yes,Yes,No,3,0-12,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,5,Month-to-month,Yes,Electronic check,94.6,High,279.55,1,Competitor had better devices
Male,No,No,No,16,13-24,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,5,Month-to-month,Yes,Electronic check,94.25,High,1483.25,1,Competitor offered higher download speeds
Male,No,Yes,No,65,61-72,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,7,One year,No,Credit card (automatic),72.45,Medium,4653.85,1,Competitor offered more data
Female,No,No,No,42,37-48,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,7,Month-to-month,Yes,Electronic check,105.2,High,4400.75,1,Competitor made better offer
Male,No,Yes,No,6,0-12,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,4,Month-to-month,Yes,Electronic check,82.85,Medium,460.25,1,Competitor had better devices
Male,Yes,Yes,No,53,49-60,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,7,Month-to-month,Yes,Electronic check,103.85,High,5485.5,1,Competitor had better devices
Female,No,Yes,No,5,0-12,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,4,Month-to-month,Yes,Electronic check,83.6,Medium,404.2,1,Competitor offered higher download speeds
Male,No,No,No,68,61-72,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,8,One year,No,Electronic check,108.45,High,7176.55,1,Competitor offered higher download speeds
Female,No,Yes,No,3,0-12,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,5,Month-to-month,Yes,Credit card (automatic),91.5,High,242.95,1,Competitor offered higher download speeds
Male,No,Yes,No,12,0-12,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,4,Month-to-month,No,Bank transfer (automatic),80.85,Medium,866.45,1,Competitor offered more data
Female,No,No,No,43,37-48,No,No phone service,DSL,No,No,Yes,No,Yes,Yes,4,Month-to-month,Yes,Bank transfer (automatic),49.05,Low,2076.2,1,Competitor offered more data
Male,Yes,Yes,No,68,61-72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,7,Month-to-month,Yes,Electronic check,105.3,High,7299.65,1,Competitor offered more data
Male,Yes,No,No,25,25-36,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,5,Month-to-month,Yes,Electronic check,88.95,High,2291.2,1,Competitor made better offer
Male,Yes,Yes,No,66,61-72,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,8,One year,Yes,Electronic check,110.85,High,7491.75,1,Competitor made better offer
Female,No,Yes,No,70,61-72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,9,Two year,Yes,Bank transfer (automatic),114.2,High,7723.9,1,Price too high
Male,Yes,Yes,No,27,25-36,No,No phone service,DSL,No,No,No,No,No,Yes,2,Month-to-month,No,Bank transfer (automatic),36.5,Low,1032.0,1,Product dissatisfaction
Female,No,No,No,1,0-12,Yes,No,Fiber optic,No,No,No,No,No,No,2,Month-to-month,No,Mailed check,70.75,Medium,70.75,1,Service dissatisfaction
